Japanese	Translation	Usage (1=Anywhere 2=Prefix 3=Suffix)
博物館	Museum	1
空港	Airport	1
ガーデン	Garden	1
支援センター	support center	1
ファミリーマート	Family Mart	1
警察所	Police	1
大学院大学	Graduate School	1
大学院	Graduate School	1
女子大学	Women University	1
放送会館	Broadcasting Hall	1
会館	Hall	1
ホール	Hall	1
プラザ	Plaza	1
拘置所	Prison	1
交差点	Crossing	1
生命	Life Insurance	1
丁目	chōme	1
銀行	Bank	1
ミュージアム	Museum	1
プラネタリウム	Planetarium	1
展望台	Observation platform	1
本線	Main Line	1
内回り	Inner	1
外回り	Outer	1
神社	Shrine	1
セブンイレブン	Seven Eleven	1
郵便局	Post Office	1
保育園	Nursery School	1
図書館	Library	1
変電所	Transformer substation	1
カフェ	Café	1
消防局	Fire Station	1
動物園	Zoo	1
病院	Clinic	1
ビーチハウス	Beach house	1
ホテル	Hotel	1
商店街	Main Street	1
ビルディング	Building	1
駐輪場	Bicycle parking	1
駐車場	Parking	1
コインパーキング	Coin parking	1
公園	Park	1
小学校	Primary School	1
中学校	Middle School	1
高校	High School	1
専門学校	Vocational School	1
学校	School	1
ケアセンタ	Care Center	1
センター	Center	1
ランプ入口	entrance ramp	1
ランプ出口	exit ramp	1
デパートメントストア	Department store	1
スーパーマーケット	Supermarket	1
回転寿司	Sushi train	1
タワー	Tower	1
美術館	Museum	1
ヒルズ	Hills	1
警察署	Police station	1
旧	Former	2
国立	National	2
市立	Municipal	2
区立	Ward	2
ヒルトン	Hilton	2
本店	Main	3
支店	Branch	3
出張所	Branch	3
入口	Entrance	3
出口	Exit	3
南口	South exit	3
北口	North exit	3
西口	West exit	3
東口	East exit	3
区	Ward	3
通り	Street	3
通	Street	3
道路	Road	3
交番	Police box	3
駅	Station	3
ビル	Bldg.	3
支店	Annex	3
ライン	Line	3
ハイツ	Heights	3
茶屋	Tea house	3
大学	University	3
